t(s)	total_voltage(V)
11820	3.8871095
11830	3.8867905
11840	3.8864709
11850	3.8861509
11860	3.8858303
11870	3.8855092
11880	3.8851877
11890	3.8848656
11900	3.8845431
11910	3.8842201
11920	3.8838967
11930	3.8835729
11940	3.8832487
11950	3.882924
11960	3.882599
11970	3.8822736
11980	3.8819478
11990	3.8816217
12000	3.8812952
12010	3.8809684
12020	3.8806413
12030	3.880314
12040	3.8799863
12050	3.8796584
12060	3.8793302
12070	3.8790018
12080	3.8786732
12090	3.8783443
12100	3.8780153
12110	3.8776861
12120	3.8773568
12130	3.8770273
12140	3.8766977
12150	3.876368
12160	3.8760382
12170	3.8757083
12180	3.8753784
12190	3.8750484
12200	3.8747184
12210	3.8743884
12220	3.8740584
12230	3.8737284
12240	3.8733984
12250	3.8730685
12260	3.8727387
12270	3.8724089
12280	3.8720793
12290	3.8717497
12300	3.8714203
12310	3.8710911
12320	3.870762
12330	3.8704331
12340	3.8701043
12350	3.8697758
12360	3.8694476
12370	3.8691195
12380	3.8687917
12390	3.8684642
12400	3.868137
12410	3.86781
12420	3.8674834
12430	3.8671571
12440	3.8668312
12450	3.8665056
12460	3.8661803
12470	3.8658555
12480	3.865531
12490	3.865207
12500	3.8648834
12510	3.8645602
12520	3.8642374
12530	3.8639151
12540	3.8635933
12550	3.8632719
12560	3.8629511
12570	3.8626307
12580	3.8623109
12590	3.8619916
12600	3.8616728
12610	3.8613546
12620	3.8610369
12630	3.8607198
12640	3.8604033
12650	3.8600873
12660	3.8597719
12670	3.8594572
12680	3.859143
12690	3.8588295
12700	3.8585166
12710	3.8582043
12720	3.8578927
12730	3.8575817
12740	3.8572713
12750	3.8569617
12760	3.8566527
12770	3.8563443
12780	3.8560367
12790	3.8557297
12800	3.8554234
12810	3.8551179
12820	3.854813
12830	3.8545088
12840	3.8542053
12850	3.8539026
12860	3.8536005
12870	3.8532992
12880	3.8529987
12890	3.8526988
12900	3.8523997
12910	3.8521013
12920	3.8518036
12930	3.8515067
12940	3.8512105
