t(s)	total_current(A)
130090	-0.05
130180	-0.05
130270	-0.05
130360	-0.05
130450	-0.05
130540	-0.05
130630	-0.05
130720	-0.05
130810	-0.05
130900	-0.05
130990	-0.05
131080	-0.05
131170	-0.05
131260	-0.05
131350	-0.05
131440	-0.05
131530	-0.05
131620	-0.05
131710	-0.05
131800	-0.05
131890	-0.05
131980	-0.05
132070	-0.05
132160	-0.05
132250	-0.05
132340	-0.05
132430	-0.05
132520	-0.05
132610	-0.05
132700	-0.05
132790	-0.05
132880	-0.05
132970	-0.05
133060	-0.05
133150	-0.05
133240	-0.05
133330	-0.05
133420	-0.05
133510	-0.05
133600	-0.05
133690	-0.05
133780	-0.05
133870	-0.05
133960	-0.05
134050	-0.05
134140	-0.05
134230	-0.05
134320	-0.05
134410	-0.05
134500	-0.05
134590	-0.05
134680	-0.05
134770	-0.05
134860	-0.05
134950	-0.05
135040	-0.05
135130	-0.05
135220	-0.05
135310	-0.05
135400	-0.05
135490	-0.05
135580	-0.05
135670	-0.05
135760	-0.05
135850	-0.05
135940	-0.05
136030	-0.05
136120	-0.05
136210	-0.05
136300	-0.05
136390	-0.05
136480	-0.05
136570	-0.05
136660	-0.05
136750	-0.05
136840	-0.05
136930	-0.05
137020	-0.05
137110	-0.05
137200	-0.05
137290	-0.05
137380	-0.05
137470	-0.05
137560	-0.05
137650	-0.05
137740	-0.05
137830	-0.05
137920	-0.05
138010	-0.05
138100	-0.05
138190	-0.05
138280	-0.05
138370	-0.05
138460	-0.05
138550	-0.05
138640	-0.05
138730	-0.05
138820	-0.05
138910	-0.05
139000	-0.05
139090	-0.05
139180	-0.05
139270	-0.05
139360	-0.05
139450	-0.05
139540	-0.05
139630	-0.05
139720	-0.05
139810	-0.05
139900	-0.05
139990	-0.05
140080	-0.05
140170	-0.05
140260	-0.05
140350	-0.05
140440	-0.05
140530	-0.05
140620	-0.05
140710	-0.05
140800	-0.05
140890	-0.05
140980	-0.05
141070	-0.05
141160	-0.05
141250	-0.05
141340	-0.05
141430	-0.05
141520	-0.05
141610	-0.05
141700	-0.05
141790	-0.05
141880	-0.05
141970	-0.05
142060	-0.05
142150	-0.05
142240	-0.05
142330	-0.05
142420	-0.05
142510	-0.05
142600	-0.05
142690	-0.05
142780	-0.05
142870	-0.05
142960	-0.05
143050	-0.05
143140	-0.05
143230	-0.05
143320	-0.05
143410	-0.05
143500	-0.05
143590	-0.05
143680	-0.05
143770	-0.05
143860	-0.05
143950	-0.05
144040	-0.05
144130	-0.05
144220	-0.05
144310	-0.05
144400	-0.05
144490	-0.05
144580	-0.05
144670	-0.05
144760	-0.05
144850	-0.05
144940	-0.05
145030	-0.05
145120	-0.05
145210	-0.05
145300	-0.05
145390	-0.05
145480	-0.05
145570	-0.05
145660	-0.05
145750	-0.05
145840	-0.05
145930	-0.05
146020	-0.05
146110	-0.05
146200	-0.05
146290	-0.05
146380	-0.05
146470	-0.05
146560	-0.05
146650	-0.05
146740	-0.05
146830	-0.05
146920	-0.05
147010	-0.05
147100	-0.05
147190	-0.05
147280	-0.05
